"Antenna Algorithm Name","Technology","Direction","Channel Model","Use Automatic AMS Threshold","Adaptive MIMO Switching C/(N+I) Threshold (dB)"
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","False","10"
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","False","10"
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","False","10"
"Automatic MIMO Switching","LTE","Downlink","EVA - 5 km/h","False","10"
"Automatic MIMO Switching","LTE","Downlink","EVA - 70 km/h","False","10"
"Automatic MIMO Switching","LTE","Uplink","EPA - 5 km/h","False","10"
"Automatic MIMO Switching","LTE","Uplink","ETU - 300 km/h","False","10"
"Automatic MIMO Switching","LTE","Uplink","ETU - 70 km/h","False","10"
"Automatic MIMO Switching","LTE","Uplink","EVA - 5 km/h","False","10"
"Automatic MIMO Switching","LTE","Uplink","EVA - 70 km/h","False","10"
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","False","10"
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","False","10"
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","False","10"
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","False","10"
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","False","10"
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","False","10"
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","False","10"
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","False","10"
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","False","10"
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","False","10"
"Automatic MIMO Switching","WiFi","Downlink","AMS","False","10"
"Smart Antenna + AMS","WiFi","Downlink","SmartAntennaAMS","False","10"
"Smart Antenna + AMS","WiMAX","Downlink","n/a","False","10"
"Smart Antenna + AMS","WiMAX","Uplink","n/a","False","10"
"WiMAX Automatic MIMO Switching","WiMAX","Downlink","n/a","False","10"
"WiMAX Automatic MIMO Switching","WiMAX","Uplink","n/a","False","10"
