"Antenna Algorithm Name","Technology","Direction","Channel Model","C/(N+I) (dB)","1x2 (dB)","2x1 (dB)","2x2 (dB)","1x4 (dB)","4x1 (dB)","2x4 (dB)","4x2 (dB)","4x4 (dB)","1x8 (dB)","8x1 (dB)","2x8 (dB)","8x2 (dB)","4x8 (dB)","8x4 (dB)","8x8 (dB)","1x3 (dB)","3x1 (dB)","2x3 (dB)","3x2 (dB)","3x3 (dB)","3x4 (dB)","4x3 (dB)","3x8 (dB)","8x3 (dB)"
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","0","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","10","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","0","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","10","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","0","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","10","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","EVA - 5 km/h","0","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","EVA - 5 km/h","10","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","EVA - 70 km/h","0","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Downlink","EVA - 70 km/h","10","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
"Automatic MIMO Switching","LTE","Uplink","EPA - 5 km/h","0","3","3","6","6","6","9","9","12","9","9","12","12","15","15","18","","","","","","","","",""
