"Site ID","BTS Name","MCC","MNC","Maximum Pooled Throughput (Mbps)","eNodeB ID","Base Station Type"
"Site_1","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_10","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_100","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1000","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1001","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1002","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1003","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1004","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1005","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1006","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1007","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1008","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1009","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_101","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1010","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1011","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1012","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1013","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1014","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1015","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1016","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1017","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1018","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1019","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_102","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1020","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1021","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1022","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1023","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1024","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1025","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1026","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1027","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1028","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1029","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_103","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1030","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1031","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1032","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1033","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1034","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1035","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1036","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1037","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1038","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1039","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_104","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1040","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1041","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1042","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1043","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1044","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1045","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1046","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1047","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1048","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1049","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_105","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1050","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1051","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1052","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1053","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1054","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1055","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1056","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1057","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1058","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1059","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_106","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1060","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1061","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1062","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1063","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1064","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1065","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1066","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1067","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1068","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1069","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_107","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1070","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1071","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1072","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1073","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1074","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1075","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1076","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1077","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1078","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1079","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_108","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1080","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1081","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1082","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1083","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1084","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1085","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1086","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1087","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1088","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1089","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_109","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1090","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1091","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1092","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1093","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1094","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1095","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1096","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1097","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1098","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1099","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_11","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_110","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1100","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1101","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1102","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1103","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1104","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1105","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1106","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1107","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1108","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1109","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_111","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1110","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1111","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1112","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1113","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1114","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1115","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1116","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1117","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1118","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1119","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_112","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1120","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1121","LTE FDD","0","0","100","","LTE FDD_BTS_1"
"Site_1122","LTE FDD","0","0","100","","LTE FDD_BTS_1"
