"Name","Direction","Useful Bits per Symbol","Required C/(N+I) (dB)","TTI Bundling Required C/(N+I) (dB)","Amplifier Backoff (dB)","Spectral Efficiency Curve","Channel Model","Speed (km/h)"
"16QAM-1/2","Downlink","2","6.2","","0","","EPA - 5 km/h","5"
"16QAM-1/2","MBSFN","2","6.2","","0","","EPA - 5 km/h","5"
"16QAM-1/2","Uplink","2","6.2","6.2","0","","EPA - 5 km/h","5"
"16QAM-2/3","Downlink","2.67","7.5","","0","","EPA - 5 km/h","5"
"16QAM-2/3","MBSFN","2.67","7.5","","0","","EPA - 5 km/h","5"
"16QAM-2/3","Uplink","2.67","7.5","7.5","0","","EPA - 5 km/h","5"
"16QAM-4/5","Downlink","3.2","10.8","","0","","EPA - 5 km/h","5"
"16QAM-4/5","MBSFN","3.2","10.8","","0","","EPA - 5 km/h","5"
"64QAM-2/3","Downlink","4","14.2","","0","","EPA - 5 km/h","5"
"64QAM-2/3","MBSFN","4","14.2","","0","","EPA - 5 km/h","5"
"64QAM-4/5","Downlink","4.8","16.9","","0","","EPA - 5 km/h","5"
"64QAM-4/5","MBSFN","4.8","16.9","","0","","EPA - 5 km/h","5"
"QPSK-1/2","Downlink","1","1","","0","","EPA - 5 km/h","5"
"QPSK-1/2","MBSFN","1","1","","0","","EPA - 5 km/h","5"
"QPSK-1/2","Uplink","1","1","1","0","","EPA - 5 km/h","5"
"QPSK-1/3","Downlink","0.67","-1.1","","0","","EPA - 5 km/h","5"
"QPSK-1/3","MBSFN","0.67","-1.1","","0","","EPA - 5 km/h","5"
"QPSK-1/3","Uplink","0.67","-1.1","-1.1","0","","EPA - 5 km/h","5"
"QPSK-2/3","Downlink","1.33","3","","0","","EPA - 5 km/h","5"
"QPSK-2/3","MBSFN","1.33","3","","0","","EPA - 5 km/h","5"
"QPSK-4/5","Downlink","1.6","4.5","","0","","EPA - 5 km/h","5"
"QPSK-4/5","MBSFN","1.6","4.5","","0","","EPA - 5 km/h","5"
"QPSK-4/5","Uplink","1.6","4.5","4.5","0","","EPA - 5 km/h","5"
