"Site ID","Sector ID","Carrier Name","Cell ID","E-UTRAN Cell ID","Downlink Load (%)","Uplink Load (%)","Maximum Downlink Load (%)","Maximum Uplink Load (%)","Uplink Noise Rise (dB)","FFR Usage (%)","Almost Blank Subframes (%)"
"NewSite001","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"NewSite001","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"NewSite001","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_10","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_10","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_10","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_100","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_100","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_100","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1000","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1000","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1000","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1001","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1001","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1001","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1002","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1002","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1002","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1003","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1003","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1003","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1004","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1004","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1004","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1005","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1005","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1005","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1006","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1006","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1006","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1007","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1007","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1007","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1008","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1008","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1008","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1009","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1009","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1009","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_101","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_101","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_101","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1010","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1010","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1010","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1011","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1011","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1011","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1012","1","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1012","2","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
"Site_1012","3","LteFddBand_SB1_1","","","50","0","100","100","3","0",""
