"Antenna Algorithm Name","Technology","Direction","Channel Model","Prevent Use of MIMO in LOS Conditions","LOS Signal to Interference Ratio Threshold (dB)"
"MIMO","HSPA","Downlink","n/a","False","25"
"MIMO","HSPA","Uplink","n/a","False","25"
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","False","25"
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","False","25"
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","False","25"
"Automatic MIMO Switching","LTE","Downlink","EVA - 5 km/h","False","25"
"Automatic MIMO Switching","LTE","Downlink","EVA - 70 km/h","False","25"
"Automatic MIMO Switching","LTE","Uplink","EPA - 5 km/h","False","25"
"Automatic MIMO Switching","LTE","Uplink","ETU - 300 km/h","False","25"
"Automatic MIMO Switching","LTE","Uplink","ETU - 70 km/h","False","25"
"Automatic MIMO Switching","LTE","Uplink","EVA - 5 km/h","False","25"
"Automatic MIMO Switching","LTE","Uplink","EVA - 70 km/h","False","25"
"MIMO","LTE","Downlink","EPA - 5 km/h","False","25"
"MIMO","LTE","Downlink","ETU - 300 km/h","False","25"
"MIMO","LTE","Downlink","ETU - 70 km/h","False","25"
"MIMO","LTE","Downlink","EVA - 5 km/h","False","25"
"MIMO","LTE","Downlink","EVA - 70 km/h","False","25"
"MIMO","LTE","Uplink","EPA - 5 km/h","False","25"
"MIMO","LTE","Uplink","ETU - 300 km/h","False","25"
"MIMO","LTE","Uplink","ETU - 70 km/h","False","25"
"MIMO","LTE","Uplink","EVA - 5 km/h","False","25"
"MIMO","LTE","Uplink","EVA - 70 km/h","False","25"
"Smart Antenna + AMS","LTE","Downlink","EPA - 5 km/h","False","25"
"Smart Antenna + AMS","LTE","Downlink","ETU - 300 km/h","False","25"
"Smart Antenna + AMS","LTE","Downlink","ETU - 70 km/h","False","25"
"Smart Antenna + AMS","LTE","Downlink","EVA - 5 km/h","False","25"
"Smart Antenna + AMS","LTE","Downlink","EVA - 70 km/h","False","25"
"Smart Antenna + AMS","LTE","Uplink","EPA - 5 km/h","False","25"
"Smart Antenna + AMS","LTE","Uplink","ETU - 300 km/h","False","25"
"Smart Antenna + AMS","LTE","Uplink","ETU - 70 km/h","False","25"
"Smart Antenna + AMS","LTE","Uplink","EVA - 5 km/h","False","25"
"Smart Antenna + AMS","LTE","Uplink","EVA - 70 km/h","False","25"
"Smart Antenna + MIMO","LTE","Downlink","EPA - 5 km/h","False","25"
"Smart Antenna + MIMO","LTE","Downlink","ETU - 300 km/h","False","25"
"Smart Antenna + MIMO","LTE","Downlink","ETU - 70 km/h","False","25"
"Smart Antenna + MIMO","LTE","Downlink","EVA - 5 km/h","False","25"
"Smart Antenna + MIMO","LTE","Downlink","EVA - 70 km/h","False","25"
"Smart Antenna + MIMO","LTE","Uplink","EPA - 5 km/h","False","25"
"Smart Antenna + MIMO","LTE","Uplink","ETU - 300 km/h","False","25"
"Smart Antenna + MIMO","LTE","Uplink","ETU - 70 km/h","False","25"
"Smart Antenna + MIMO","LTE","Uplink","EVA - 5 km/h","False","25"
"Smart Antenna + MIMO","LTE","Uplink","EVA - 70 km/h","False","25"
"Automatic MIMO Switching","WiFi","Downlink","AMS","False","25"
"MIMO","WiFi","Downlink","MIMO","False","25"
"Smart Antenna + AMS","WiFi","Downlink","SmartAntennaAMS","False","25"
"Smart Antenna + MIMO","WiFi","Downlink","SmartAntennaMIMO","False","25"
"Smart Antenna + AMS","WiMAX","Downlink","n/a","False","25"
"Smart Antenna + AMS","WiMAX","Uplink","n/a","False","25"
"Smart Antenna + WiMAX MIMO B","WiMAX","Downlink","n/a","False","25"
"Smart Antenna + WiMAX MIMO B","WiMAX","Uplink","n/a","False","25"
"WiMAX Automatic MIMO Switching","WiMAX","Downlink","n/a","False","25"
"WiMAX Automatic MIMO Switching","WiMAX","Uplink","n/a","False","25"
"WiMAX MIMO B","WiMAX","Downlink","n/a","False","25"
"WiMAX MIMO B","WiMAX","Uplink","n/a","False","25"
