"Antenna Algorithm Name","Technology","Direction","Channel Model","Clutter Type","2x2 (%)","4x4 (%)","8x8 (%)","3x3 (%)"
"MIMO","HSPA","Downlink","n/a","10F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","11F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","12F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","1-2F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","13F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","14F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","15F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","16F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","17F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","18F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","19F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","20F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","21F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","22F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","23F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","24F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","25F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","26F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","27F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","28F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","29F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","30F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","31F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","32F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","33F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","34F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","35F-_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","3F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","4F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","5F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","6F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","7F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","8F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","9F_Nodata","100","100","",""
"MIMO","HSPA","Downlink","n/a","Elevated Highway and Bridge","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_15m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_20m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_25m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_30m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_40m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_50m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Forest_7m","100","100","",""
"MIMO","HSPA","Downlink","n/a","Grass","100","100","",""
"MIMO","HSPA","Downlink","n/a","Mean urban","100","100","",""
"MIMO","HSPA","Downlink","n/a","Narrow Road","100","100","",""
"MIMO","HSPA","Downlink","n/a","Open","100","100","",""
"MIMO","HSPA","Downlink","n/a","Openland","100","100","",""
"MIMO","HSPA","Downlink","n/a","Railway","100","100","",""
"MIMO","HSPA","Downlink","n/a","Residential","100","100","",""
"MIMO","HSPA","Downlink","n/a","Water","100","100","",""
"MIMO","HSPA","Downlink","n/a","Wide Road","100","100","",""
"MIMO","HSPA","Uplink","n/a","10F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","11F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","12F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","1-2F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","13F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","14F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","15F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","16F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","17F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","18F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","19F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","20F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","21F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","22F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","23F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","24F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","25F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","26F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","27F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","28F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","29F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","30F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","31F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","32F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","33F_Nodata","100","","",""
"MIMO","HSPA","Uplink","n/a","34F_Nodata","100","","",""
