"Antenna Algorithm Name","Technology","Direction","Channel Model","Signal to Interference Ratio (dB)","2x2 (%)","4x4 (%)","8x8 (%)","3x3 (%)"
"MIMO","HSPA","Downlink","n/a","-10","2.38","3.63","",""
"MIMO","HSPA","Downlink","n/a","-5","6.85","10.77","",""
"MIMO","HSPA","Downlink","n/a","0","16.99","28.77","",""
"MIMO","HSPA","Downlink","n/a","2","22.9","40.58","",""
"MIMO","HSPA","Downlink","n/a","4","29.53","55.18","",""
"MIMO","HSPA","Downlink","n/a","6","36.45","72.09","",""
"MIMO","HSPA","Downlink","n/a","8","43.2","90.39","",""
"MIMO","HSPA","Downlink","n/a","10","49.44","108.98","",""
"MIMO","HSPA","Downlink","n/a","12","55","126.87","",""
"MIMO","HSPA","Downlink","n/a","14","59.81","143.37","",""
"MIMO","HSPA","Downlink","n/a","16","63.93","158.14","",""
"MIMO","HSPA","Downlink","n/a","18","67.42","171.11","",""
"MIMO","HSPA","Downlink","n/a","20","70.39","182.38","",""
"MIMO","HSPA","Downlink","n/a","25","76.04","204.38","",""
"MIMO","HSPA","Downlink","n/a","30","79.96","219.91","",""
"MIMO","HSPA","Downlink","n/a","40","84.95","239.81","",""
"MIMO","HSPA","Downlink","n/a","50","87.96","251.84","",""
"MIMO","HSPA","Downlink","n/a","60","89.97","259.86","",""
"MIMO","HSPA","Downlink","n/a","70","91.4","265.6","",""
"MIMO","HSPA","Downlink","n/a","80","92.47","269.9","",""
"MIMO","HSPA","Downlink","n/a","90","93.31","273.24","",""
"MIMO","HSPA","Downlink","n/a","100","93.98","275.92","",""
"MIMO","HSPA","Uplink","n/a","-10","2.38","","",""
"MIMO","HSPA","Uplink","n/a","-5","6.85","","",""
"MIMO","HSPA","Uplink","n/a","0","16.99","","",""
"MIMO","HSPA","Uplink","n/a","2","22.9","","",""
"MIMO","HSPA","Uplink","n/a","4","29.53","","",""
"MIMO","HSPA","Uplink","n/a","6","36.45","","",""
"MIMO","HSPA","Uplink","n/a","8","43.2","","",""
"MIMO","HSPA","Uplink","n/a","10","49.44","","",""
"MIMO","HSPA","Uplink","n/a","12","55","","",""
"MIMO","HSPA","Uplink","n/a","14","59.81","","",""
"MIMO","HSPA","Uplink","n/a","16","63.93","","",""
"MIMO","HSPA","Uplink","n/a","18","67.42","","",""
"MIMO","HSPA","Uplink","n/a","20","70.39","","",""
"MIMO","HSPA","Uplink","n/a","25","76.04","","",""
"MIMO","HSPA","Uplink","n/a","30","79.96","","",""
"MIMO","HSPA","Uplink","n/a","40","84.95","","",""
"MIMO","HSPA","Uplink","n/a","50","87.96","","",""
"MIMO","HSPA","Uplink","n/a","60","89.97","","",""
"MIMO","HSPA","Uplink","n/a","70","91.4","","",""
"MIMO","HSPA","Uplink","n/a","80","92.47","","",""
"MIMO","HSPA","Uplink","n/a","90","93.31","","",""
"MIMO","HSPA","Uplink","n/a","100","93.98","","",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","-10","2.38","3.63","4.27",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","-5","6.85","10.77","12.87",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","0","16.99","28.77","35.94",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","2","22.9","40.58","52.26",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","4","29.53","55.18","73.91",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","6","36.45","72.09","101.23",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","8","43.2","90.39","133.86",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","10","49.44","108.98","170.55",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","12","55","126.87","209.4",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","14","59.81","143.37","248.34",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","16","63.93","158.14","285.62",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","18","67.42","171.11","320.07",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","20","70.39","182.38","351.16",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","25","76.04","204.38","414.2",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","30","79.96","219.91","460.02",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","40","84.95","239.81","519.44",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","50","87.96","251.84","555.51",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","60","89.97","259.86","579.59",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","70","91.4","265.6","596.79",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","80","92.47","269.9","609.69",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","90","93.31","273.24","619.73",""
"Automatic MIMO Switching","LTE","Downlink","EPA - 5 km/h","100","93.98","275.92","627.75",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","-10","2.38","3.63","4.27",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","-5","6.85","10.77","12.87",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","0","16.99","28.77","35.94",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","2","22.9","40.58","52.26",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","4","29.53","55.18","73.91",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","6","36.45","72.09","101.23",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","8","43.2","90.39","133.86",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","10","49.44","108.98","170.55",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","12","55","126.87","209.4",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","14","59.81","143.37","248.34",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","16","63.93","158.14","285.62",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","18","67.42","171.11","320.07",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","20","70.39","182.38","351.16",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","25","76.04","204.38","414.2",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","30","79.96","219.91","460.02",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","40","84.95","239.81","519.44",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","50","87.96","251.84","555.51",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","60","89.97","259.86","579.59",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","70","91.4","265.6","596.79",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","80","92.47","269.9","609.69",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","90","93.31","273.24","619.73",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 300 km/h","100","93.98","275.92","627.75",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","-10","2.38","3.63","4.27",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","-5","6.85","10.77","12.87",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","0","16.99","28.77","35.94",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","2","22.9","40.58","52.26",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","4","29.53","55.18","73.91",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","6","36.45","72.09","101.23",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","8","43.2","90.39","133.86",""
"Automatic MIMO Switching","LTE","Downlink","ETU - 70 km/h","10","49.44","108.98","170.55",""
