"Name","Start Frequency (MHz)","End Frequency (MHz)","Outdoor Penetration Loss (dB)","Vehicular Penetration Loss (dB)","Indoor Penetration Loss (dB)","Deep Indoor Penetration Loss (dB)"
"10F_Nodata","450","3500","0","7","10","20"
"11F_Nodata","450","3500","0","7","10","20"
"12F_Nodata","450","3500","0","7","10","20"
"1-2F_Nodata","450","3500","0","7","10","20"
"13F_Nodata","450","3500","0","7","10","20"
"14F_Nodata","450","3500","0","7","10","20"
"15F_Nodata","450","3500","0","7","10","20"
"16F_Nodata","450","3500","0","7","10","20"
"17F_Nodata","450","3500","0","7","10","20"
"18F_Nodata","450","3500","0","7","10","20"
"19F_Nodata","450","3500","0","7","10","20"
"20F_Nodata","450","3500","0","7","10","20"
"21F_Nodata","450","3500","0","7","10","20"
"22F_Nodata","450","3500","0","7","10","20"
"23F_Nodata","450","3500","0","7","10","20"
"24F_Nodata","450","3500","0","7","10","20"
"25F_Nodata","450","3500","0","7","10","20"
"26F_Nodata","450","3500","0","7","10","20"
"27F_Nodata","450","3500","0","7","10","20"
"28F_Nodata","450","3500","0","7","10","20"
"29F_Nodata","450","3500","0","7","10","20"
"30F_Nodata","450","3500","0","7","10","20"
"31F_Nodata","450","3500","0","7","10","20"
"32F_Nodata","450","3500","0","7","10","20"
"33F_Nodata","450","3500","0","7","10","20"
"34F_Nodata","450","3500","0","7","10","20"
"35F-_Nodata","450","3500","0","7","10","20"
"3F_Nodata","450","3500","0","7","10","20"
"4F_Nodata","450","3500","0","7","10","20"
"5F_Nodata","450","3500","0","7","10","20"
"6F_Nodata","450","3500","0","7","10","20"
"7F_Nodata","450","3500","0","7","10","20"
"8F_Nodata","450","3500","0","7","10","20"
"9F_Nodata","450","3500","0","7","10","20"
"Elevated Highway and Bridge","450","3500","0","7","10","20"
"Forest_15m","450","3500","0","7","10","20"
"Forest_20m","450","3500","0","7","10","20"
"Forest_25m","450","3500","0","7","10","20"
"Forest_30m","450","3500","0","7","10","20"
"Forest_40m","450","3500","0","7","10","20"
"Forest_50m","450","3500","0","7","10","20"
"Forest_7m","450","3500","0","7","10","20"
"Grass","450","3500","0","7","10","20"
"Mean urban","450","3500","0","7","10","20"
"Narrow Road","450","3500","0","7","10","20"
"Open","450","3500","0","7","10","20"
"Openland","450","3500","0","7","10","20"
"Railway","450","3500","0","7","10","20"
"Residential","450","3500","0","7","10","20"
"Water","450","3500","0","7","10","20"
"Wide Road","450","3500","0","7","10","20"
