"Site ID","Sector ID","Antenna ID","Port Name","Downlink","Uplink"
"NewSite001","1","1","Port 1","False","False"
"NewSite001","1","1","Port 2","True","True"
"NewSite001","2","2","Port 1","False","False"
"NewSite001","2","2","Port 2","True","True"
"NewSite001","3","3","Port 1","False","False"
"NewSite001","3","3","Port 2","True","True"
"Site_1","1","1","Port 1","False","False"
"Site_1","1","1","Port 2","True","True"
"Site_1","2","2","Port 1","False","False"
"Site_1","2","2","Port 2","True","True"
"Site_1","3","3","Port 1","False","False"
"Site_1","3","3","Port 2","True","True"
"Site_10","1","1","Port 1","True","True"
"Site_10","2","2","Port 1","False","False"
"Site_10","2","2","Port 2","True","True"
"Site_10","3","3","Port 1","False","False"
"Site_10","3","3","Port 2","True","True"
"Site_100","1","1","Port 1","False","False"
"Site_100","1","1","Port 2","True","True"
"Site_100","2","2","Port 1","False","False"
"Site_100","2","2","Port 2","True","True"
"Site_100","3","3","Port 1","False","False"
"Site_100","3","3","Port 2","True","True"
"Site_1000","1","1","Port 1","False","False"
"Site_1000","1","1","Port 2","True","True"
"Site_1000","2","2","Port 1","False","False"
"Site_1000","2","2","Port 2","True","True"
"Site_1000","3","3","Port 1","False","False"
"Site_1000","3","3","Port 2","True","True"
"Site_1001","1","1","Port 1","False","False"
"Site_1001","1","1","Port 2","True","True"
"Site_1001","2","2","Port 1","False","False"
"Site_1001","2","2","Port 2","True","True"
"Site_1001","3","3","Port 1","False","False"
"Site_1001","3","3","Port 2","True","True"
"Site_1002","1","1","Port 1","False","False"
"Site_1002","1","1","Port 2","True","True"
"Site_1002","2","2","Port 1","False","False"
"Site_1002","2","2","Port 2","True","True"
"Site_1002","3","3","Port 1","False","False"
"Site_1002","3","3","Port 2","True","True"
"Site_1003","1","1","Port 1","False","False"
"Site_1003","1","1","Port 2","True","True"
"Site_1003","2","2","Port 1","False","False"
"Site_1003","2","2","Port 2","True","True"
"Site_1003","3","3","Port 1","False","False"
"Site_1003","3","3","Port 2","True","True"
"Site_1004","1","1","Port 1","False","False"
"Site_1004","1","1","Port 2","True","True"
"Site_1004","2","2","Port 1","False","False"
"Site_1004","2","2","Port 2","True","True"
"Site_1004","3","3","Port 1","False","False"
"Site_1004","3","3","Port 2","True","True"
"Site_1005","1","1","Port 1","False","False"
"Site_1005","1","1","Port 2","True","True"
"Site_1005","2","2","Port 1","False","False"
"Site_1005","2","2","Port 2","True","True"
"Site_1005","3","3","Port 1","False","False"
"Site_1005","3","3","Port 2","True","True"
"Site_1006","1","1","Port 1","False","False"
"Site_1006","1","1","Port 2","True","True"
"Site_1006","2","2","Port 1","False","False"
"Site_1006","2","2","Port 2","True","True"
"Site_1006","3","3","Port 1","False","False"
"Site_1006","3","3","Port 2","True","True"
"Site_1007","1","1","Port 1","False","False"
"Site_1007","1","1","Port 2","True","True"
"Site_1007","2","2","Port 1","False","False"
