"Site ID","Sector ID","Antenna ID","MIMO Group","Horizontal Beamwidth","Vertical Beamwidth","Link Configuration ID","Cable Length (m)","Power Split (%)","Downlink Beamforming Configuration","Uplink Beamforming Configuration"
"Site_1","1","1","1","65","62","Default","25","100","None","None"
"Site_1","2","2","1","65","62","Default","25","100","None","None"
"Site_1","3","3","1","65","62","Default","25","100","None","None"
"Site_10","1","1","1","65","62","Default","25","100","None","None"
"Site_10","2","2","1","65","62","Default","25","100","None","None"
"Site_10","3","3","1","65","62","Default","25","100","None","None"
"Site_100","1","1","1","65","62","Default","25","100","None","None"
"Site_100","2","2","1","65","62","Default","25","100","None","None"
"Site_100","3","3","1","65","62","Default","25","100","None","None"
"Site_1000","1","1","1","65","62","Default","25","100","None","None"
"Site_1000","2","2","1","65","62","Default","25","100","None","None"
"Site_1000","3","3","1","65","62","Default","25","100","None","None"
"Site_1001","1","1","1","65","62","Default","25","100","None","None"
"Site_1001","2","2","1","65","62","Default","25","100","None","None"
"Site_1001","3","3","1","65","62","Default","25","100","None","None"
"Site_1002","1","1","1","65","62","Default","25","100","None","None"
"Site_1002","2","2","1","65","62","Default","25","100","None","None"
"Site_1002","3","3","1","65","62","Default","25","100","None","None"
"Site_1003","1","1","1","65","62","Default","25","100","None","None"
"Site_1003","2","2","1","65","62","Default","25","100","None","None"
"Site_1003","3","3","1","65","62","Default","25","100","None","None"
"Site_1004","1","1","1","65","62","Default","25","100","None","None"
"Site_1004","2","2","1","65","62","Default","25","100","None","None"
"Site_1004","3","3","1","65","62","Default","25","100","None","None"
"Site_1005","1","1","1","65","62","Default","25","100","None","None"
"Site_1005","2","2","1","65","62","Default","25","100","None","None"
"Site_1005","3","3","1","65","62","Default","25","100","None","None"
"Site_1006","1","1","1","65","62","Default","25","100","None","None"
"Site_1006","2","2","1","65","62","Default","25","100","None","None"
"Site_1006","3","3","1","65","62","Default","25","100","None","None"
"Site_1007","1","1","1","65","62","Default","25","100","None","None"
"Site_1007","2","2","1","65","62","Default","25","100","None","None"
"Site_1007","3","3","1","65","62","Default","25","100","None","None"
"Site_1008","1","1","1","65","62","Default","25","100","None","None"
"Site_1008","2","2","1","65","62","Default","25","100","None","None"
"Site_1008","3","3","1","65","62","Default","25","100","None","None"
"Site_1009","1","1","1","65","62","Default","25","100","None","None"
"Site_1009","2","2","1","65","62","Default","25","100","None","None"
"Site_1009","3","3","1","65","62","Default","25","100","None","None"
"Site_101","1","1","1","65","62","Default","25","100","None","None"
"Site_101","2","2","1","65","62","Default","25","100","None","None"
"Site_101","3","3","1","65","62","Default","25","100","None","None"
"Site_1010","1","1","1","65","62","Default","25","100","None","None"
"Site_1010","2","2","1","65","62","Default","25","100","None","None"
"Site_1010","3","3","1","65","62","Default","25","100","None","None"
"Site_1011","1","1","1","65","62","Default","25","100","None","None"
"Site_1011","2","2","1","65","62","Default","25","100","None","None"
"Site_1011","3","3","1","65","62","Default","25","100","None","None"
"Site_1012","1","1","1","65","62","Default","25","100","None","None"
"Site_1012","2","2","1","65","62","Default","25","100","None","None"
"Site_1012","3","3","1","65","62","Default","25","100","None","None"
"Site_1013","1","1","1","65","62","Default","25","100","None","None"
"Site_1013","2","2","1","65","62","Default","25","100","None","None"
"Site_1013","3","3","1","65","62","Default","25","100","None","None"
"Site_1014","1","1","1","65","62","Default","25","100","None","None"
"Site_1014","2","2","1","65","62","Default","25","100","None","None"
"Site_1014","3","3","1","65","62","Default","25","100","None","None"
"Site_1015","1","1","1","65","62","Default","25","100","None","None"
"Site_1015","2","2","1","65","62","Default","25","100","None","None"
"Site_1015","3","3","1","65","62","Default","25","100","None","None"
"Site_1016","1","1","1","65","62","Default","25","100","None","None"
"Site_1016","2","2","1","65","62","Default","25","100","None","None"
"Site_1016","3","3","1","65","62","Default","25","100","None","None"
"Site_1017","1","1","1","65","62","Default","25","100","None","None"
"Site_1017","2","2","1","65","62","Default","25","100","None","None"
"Site_1017","3","3","1","65","62","Default","25","100","None","None"
"Site_1018","1","1","1","65","62","Default","25","100","None","None"
"Site_1018","2","2","1","65","62","Default","25","100","None","None"
"Site_1018","3","3","1","65","62","Default","25","100","None","None"
"Site_1019","1","1","1","65","62","Default","25","100","None","None"
"Site_1019","2","2","1","65","62","Default","25","100","None","None"
"Site_1019","3","3","1","65","62","Default","25","100","None","None"
"Site_102","1","1","1","65","62","Default","25","100","None","None"
"Site_102","2","2","1","65","62","Default","25","100","None","None"
"Site_102","3","3","1","65","62","Default","25","100","None","None"
"Site_1020","1","1","1","65","62","Default","25","100","None","None"
"Site_1020","2","2","1","65","62","Default","25","100","None","None"
"Site_1020","3","3","1","65","62","Default","25","100","None","None"
"Site_1021","1","1","1","65","62","Default","25","100","None","None"
"Site_1021","2","2","1","65","62","Default","25","100","None","None"
"Site_1021","3","3","1","65","62","Default","25","100","None","None"
"Site_1022","1","1","1","65","62","Default","25","100","None","None"
"Site_1022","2","2","1","65","62","Default","25","100","None","None"
"Site_1022","3","3","1","65","62","Default","25","100","None","None"
"Site_1023","1","1","1","65","62","Default","25","100","None","None"
"Site_1023","2","2","1","65","62","Default","25","100","None","None"
"Site_1023","3","3","1","65","62","Default","25","100","None","None"
"Site_1024","1","1","1","65","62","Default","25","100","None","None"
"Site_1024","2","2","1","65","62","Default","25","100","None","None"
"Site_1024","3","3","1","65","62","Default","25","100","None","None"
"Site_1025","1","1","1","65","62","Default","25","100","None","None"
"Site_1025","2","2","1","65","62","Default","25","100","None","None"
"Site_1025","3","3","1","65","62","Default","25","100","None","None"
"Site_1026","1","1","1","65","62","Default","25","100","None","None"
"Site_1026","2","2","1","65","62","Default","25","100","None","None"
"Site_1026","3","3","1","65","62","Default","25","100","None","None"
"Site_1027","1","1","1","65","62","Default","25","100","None","None"
"Site_1027","2","2","1","65","62","Default","25","100","None","None"
"Site_1027","3","3","1","65","62","Default","25","100","None","None"
"Site_1028","1","1","1","65","62","Default","25","100","None","None"
"Site_1028","2","2","1","65","62","Default","25","100","None","None"
"Site_1028","3","3","1","65","62","Default","25","100","None","None"
"Site_1029","1","1","1","65","62","Default","25","100","None","None"
"Site_1029","2","2","1","65","62","Default","25","100","None","None"
"Site_1029","3","3","1","65","62","Default","25","100","None","None"
"Site_103","1","1","1","65","62","Default","25","100","None","None"
"Site_103","2","2","1","65","62","Default","25","100","None","None"
"Site_103","3","3","1","65","62","Default","25","100","None","None"
"Site_1030","1","1","1","65","62","Default","25","100","None","None"
"Site_1030","2","2","1","65","62","Default","25","100","None","None"
"Site_1030","3","3","1","65","62","Default","25","100","None","None"
"Site_1031","1","1","1","65","62","Default","25","100","None","None"
"Site_1031","2","2","1","65","62","Default","25","100","None","None"
"Site_1031","3","3","1","65","62","Default","25","100","None","None"
"Site_1032","1","1","1","65","62","Default","25","100","None","None"
"Site_1032","2","2","1","65","62","Default","25","100","None","None"
"Site_1032","3","3","1","65","62","Default","25","100","None","None"
"Site_1033","1","1","1","65","62","Default","25","100","None","None"
"Site_1033","2","2","1","65","62","Default","25","100","None","None"
"Site_1033","3","3","1","65","62","Default","25","100","None","None"
"Site_1034","1","1","1","65","62","Default","25","100","None","None"
"Site_1034","2","2","1","65","62","Default","25","100","None","None"
"Site_1034","3","3","1","65","62","Default","25","100","None","None"
"Site_1035","1","1","1","65","62","Default","25","100","None","None"
"Site_1035","2","2","1","65","62","Default","25","100","None","None"
"Site_1035","3","3","1","65","62","Default","25","100","None","None"
"Site_1036","1","1","1","65","62","Default","25","100","None","None"
"Site_1036","2","2","1","65","62","Default","25","100","None","None"
"Site_1036","3","3","1","65","62","Default","25","100","None","None"
"Site_1037","1","1","1","65","62","Default","25","100","None","None"
"Site_1037","2","2","1","65","62","Default","25","100","None","None"
"Site_1037","3","3","1","65","62","Default","25","100","None","None"
"Site_1038","1","1","1","65","62","Default","25","100","None","None"
"Site_1038","2","2","1","65","62","Default","25","100","None","None"
"Site_1038","3","3","1","65","62","Default","25","100","None","None"
"Site_1039","1","1","1","65","62","Default","25","100","None","None"
"Site_1039","2","2","1","65","62","Default","25","100","None","None"
"Site_1039","3","3","1","65","62","Default","25","100","None","None"
