"Site ID","BTS Name","Sector ID","Sector UID","Cell ID","Technology","Band Name","Antenna Algorithm","Propagation Model","Distance (km)","Radials","Prediction Mode","Interpolation Distance (m)","Display Scheme"
"Site_1","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_10","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_10","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_10","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_100","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_100","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_100","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1000","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1000","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1000","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1001","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1001","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1001","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1002","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1002","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1002","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1003","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1003","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1003","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1004","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1004","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1004","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1005","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1005","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1005","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1006","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1006","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1006","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1007","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1007","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1007","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1008","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1008","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1008","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1009","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1009","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1009","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_101","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_101","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_101","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1010","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1010","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1010","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1011","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1011","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1011","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1012","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1012","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1012","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1013","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1013","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1013","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1014","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1014","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1014","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1015","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1015","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1015","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1016","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1016","LTE FDD","2","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1016","LTE FDD","3","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
"Site_1017","LTE FDD","1","","","LTE FDD","LteFddBand","N/A","default_PlanetGeneralModel.pmf","20","60","Modeled","200","N/A"
